Job Title;Employment Type;Experience Level;Expertise Level;Company Location;Salary in USD;Employee Residence;Company Size;Year
Data Operations Specialist;Full-Time;Mid;Intermediate;United States;50000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;293000;United States;Medium;2023
Director of Data Science;Full-Time;Executive;Director;United States;260000;United States;Medium;2023
Director of Data Science;Full-Time;Executive;Director;United States;192000;United States;Medium;2023
Machine Learning Scientist;Full-Time;Mid;Intermediate;United States;170000;United States;Medium;2023
Machine Learning Scientist;Full-Time;Mid;Intermediate;United States;125000;United States;Medium;2023
Business Intelligence Data Analyst;Full-Time;Entry;Junior;United States;99000;United States;Large;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;233000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;166000;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;185100;United States;Medium;2023
Data Engineer;Full-Time;Senior;Expert;United States;127600;United States;Medium;2023
Data Analyst;Full-Time;Mid;Intermediate;United States;105000;United States;Medium;2023
Data Analyst;Full-Time;Executive;Director;United States;160000;United States;Medium;2023
Data Analyst;Full-Time;Executive;Director;United States;55000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;241000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;163000;United States;Medium;2023
Data Scientist;Full-Time;Mid;Intermediate;United States;120000;United States;Medium;2023
Data Scientist;Full-Time;Senior;Expert;United States;118000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;311000;United States;Medium;2023
Machine Learning Engineer;Full-Time;Senior;Expert;United States;162540;United States;Medium;2023
Insight Analyst;Full-Time;Mid;Intermediate;United Kingdom;51676;United Kingdom;Medium;2023
Insight Analyst;Full-Time;Mid;Intermediate;United Kingdom;43064;United Kingdom;Medium;2023
Data Scientist;Full-Time;Executive;Director;United States;258750;United States;Medium;2023
